t	1	2	jV0100	
0.314	0.920232	0.000919313	-0.921151	
0.315	0.917755	0.000916838	-0.918671	
0.316	0.915241	0.000914327	-0.916155	
0.317	0.912692	0.00091178	-0.913603	
0.318	0.910106	0.000909197	-0.911015	
0.319	0.907484	0.000906578	-0.908391	
0.32	0.904827	0.000903923	-0.905731	
0.321	0.902134	0.000901233	-0.903035	
0.322	0.899405	0.000898507	-0.900304	
0.323	0.896641	0.000895745	-0.897537	
0.324	0.893841	0.000892948	-0.894734	
0.325	0.891007	0.000890116	-0.891897	
0.326	0.888136	0.000887249	-0.889024	
0.327	0.885231	0.000884347	-0.886116	
0.328	0.882291	0.00088141	-0.883173	
0.329	0.879316	0.000878438	-0.880195	
0.33	0.876307	0.000875431	-0.877182	
0.331	0.873262	0.00087239	-0.874135	
0.332	0.870184	0.000869314	-0.871053	
0.333	0.867071	0.000866204	-0.867937	
0.334	0.863923	0.00086306	-0.864786	
0.335	0.860742	0.000859882	-0.861602	
0.336	0.857527	0.00085667	-0.858383	
0.337	0.854277	0.000853424	-0.855131	
0.338	0.850994	0.000850144	-0.851845	
0.339	0.847678	0.000846831	-0.848525	
0.34	0.844328	0.000843484	-0.845171	
0.341	0.840945	0.000840104	-0.841785	
0.342	0.837528	0.000836691	-0.838365	
0.343	0.834078	0.000833245	-0.834912	
0.344	0.830596	0.000829766	-0.831426	
0.345	0.827081	0.000826254	-0.827907	
0.346	0.823533	0.00082271	-0.824355	
0.347	0.819952	0.000819133	-0.820771	
0.348	0.816339	0.000815524	-0.817155	
0.349	0.812694	0.000811882	-0.813506	
0.35	0.809017	0.000808209	-0.809825	
0.351	0.805308	0.000804503	-0.806112	
0.352	0.801567	0.000800766	-0.802368	
0.353	0.797794	0.000796997	-0.798591	
0.354	0.79399	0.000793197	-0.794784	
0.355	0.790155	0.000789366	-0.790944	
0.356	0.786288	0.000785503	-0.787074	
0.357	0.782391	0.000781609	-0.783172	
0.358	0.778462	0.000777685	-0.77924	
0.359	0.774503	0.000773729	-0.775277	
0.36	0.770513	0.000769743	-0.771283	
0.361	0.766493	0.000765727	-0.767259	
0.362	0.762443	0.000761681	-0.763204	
0.363	0.758362	0.000757604	-0.75912	
0.364	0.754251	0.000753498	-0.755005	
0.365	0.750111	0.000749362	-0.75086	
0.366	0.745941	0.000745196	-0.746686	
0.367	0.741742	0.000741001	-0.742483	
0.368	0.737513	0.000736776	-0.73825	
0.369	0.733255	0.000732523	-0.733988	
0.37	0.728969	0.00072824	-0.729697	
