t 1 2 jL0100 jV0200 
0.000347 5.27981 3.81813 1.46168 -1.46168
0.000348 5.26536 3.79987 1.46549 -1.46549
0.000349 5.25078 3.7815 1.46928 -1.46928
0.00035 5.23607 3.76301 1.47305 -1.47305
0.000351 5.22123 3.74442 1.47681 -1.47681
0.000352 5.20627 3.72573 1.48054 -1.48054
0.000353 5.19118 3.70692 1.48426 -1.48426
0.000354 5.17596 3.68801 1.48796 -1.48796
0.000355 5.16062 3.66899 1.49163 -1.49163
0.000356 5.14515 3.64986 1.49529 -1.49529
0.000357 5.12956 3.63063 1.49893 -1.49893
0.000358 5.11385 3.61129 1.50255 -1.50255
0.000359 5.09801 3.59186 1.50616 -1.50616
0.00036 5.08205 3.57231 1.50974 -1.50974
0.000361 5.06597 3.55267 1.5133 -1.5133
0.000362 5.04977 3.53293 1.51684 -1.51684
0.000363 5.03345 3.51308 1.52037 -1.52037
0.000364 5.01701 3.49314 1.52387 -1.52387
0.000365 5.00044 3.47309 1.52735 -1.52735
0.000366 4.98376 3.45295 1.53082 -1.53082
0.000367 4.96697 3.43271 1.53426 -1.53426
0.000368 4.95005 3.41237 1.53768 -1.53768
0.000369 4.93302 3.39194 1.54108 -1.54108
0.00037 4.91587 3.37141 1.54447 -1.54447
0.000371 4.89861 3.35079 1.54783 -1.54783
0.000372 4.88124 3.33007 1.55117 -1.55117
0.000373 4.86375 3.30926 1.55449 -1.55449
0.000374 4.84614 3.28836 1.55779 -1.55779
0.000375 4.82843 3.26736 1.56106 -1.56106
0.000376 4.8106 3.24628 1.56432 -1.56432
0.000377 4.79266 3.22511 1.56756 -1.56756
0.000378 4.77461 3.20384 1.57077 -1.57077
0.000379 4.75646 3.18249 1.57396 -1.57396
0.00038 4.73819 3.16105 1.57714 -1.57714
0.000381 4.71981 3.13953 1.58029 -1.58029
0.000382 4.70133 3.11792 1.58341 -1.58341
0.000383 4.68274 3.09622 1.58652 -1.58652
0.000384 4.66405 3.07444 1.58961 -1.58961
0.000385 4.64525 3.05258 1.59267 -1.59267
0.000386 4.62634 3.03063 1.59571 -1.59571
0.000387 4.60733 3.0086 1.59873 -1.59873
0.000388 4.58822 2.9865 1.60173 -1.60173
0.000389 4.56901 2.96431 1.6047 -1.6047
0.00039 4.5497 2.94204 1.60766 -1.60766
0.000391 4.53028 2.91969 1.61059 -1.61059
0.000392 4.51077 2.89727 1.6135 -1.6135
0.000393 4.49115 2.87477 1.61638 -1.61638
0.000394 4.47144 2.85219 1.61925 -1.61925
0.000395 4.45163 2.82954 1.62209 -1.62209
0.000396 4.43172 2.80682 1.62491 -1.62491
0.000397 4.41172 2.78402 1.6277 -1.6277
0.000398 4.39162 2.76115 1.63047 -1.63047
0.000399 4.37143 2.7382 1.63322 -1.63322
0.0004 4.35114 2.71519 1.63595 -1.63595
0.000401 4.33076 2.69211 1.63865 -1.63865
0.000402 4.31029 2.66896 1.64133 -1.64133
0.000403 4.28973 2.64574 1.64399 -1.64399
0.000404 4.26908 2.62245 1.64663 -1.64663
0.000405 4.24833 2.5991 1.64924 -1.64924
0.000406 4.2275 2.57568 1.65182 -1.65182
0.000407 4.20658 2.5522 1.65439 -1.65439
0.000408 4.18558 2.52865 1.65693 -1.65693
0.000409 4.16449 2.50504 1.65944 -1.65944
0.00041 4.14331 2.48137 1.66194 -1.66194
0.000411 4.12204 2.45764 1.66441 -1.66441
0.000412 4.1007 2.43385 1.66685 -1.66685
0.000413 4.07927 2.40999 1.66927 -1.66927
0.000414 4.05776 2.38609 1.67167 -1.67167
0.000415 4.03617 2.36212 1.67405 -1.67405
0.000416 4.01449 2.3381 1.6764 -1.6764
0.000417 3.99274 2.31402 1.67872 -1.67872
0.000418 3.97091 2.28988 1.68103 -1.68103
0.000419 3.949 2.2657 1.6833 -1.6833
0.00042 3.92701 2.24146 1.68556 -1.68556
0.000421 3.90495 2.21717 1.68779 -1.68779
0.000422 3.88282 2.19282 1.68999 -1.68999
0.000423 3.8606 2.16843 1.69217 -1.69217
0.000424 3.83832 2.14399 1.69433 -1.69433
0.000425 3.81596 2.1195 1.69646 -1.69646
0.000426 3.79353 2.09497 1.69857 -1.69857
0.000427 3.77103 2.07038 1.70065 -1.70065
0.000428 3.74846 2.04576 1.70271 -1.70271
0.000429 3.72582 2.02108 1.70474 -1.70474
0.00043 3.70312 1.99637 1.70675 -1.70675
0.000431 3.68034 1.97161 1.70873 -1.70873
0.000432 3.6575 1.94681 1.71069 -1.71069
0.000433 3.6346 1.92197 1.71263 -1.71263
0.000434 3.61163 1.89709 1.71454 -1.71454
0.000435 3.58859 1.87217 1.71642 -1.71642
0.000436 3.56549 1.84721 1.71828 -1.71828
0.000437 3.54234 1.82222 1.72012 -1.72012
0.000438 3.51912 1.79719 1.72193 -1.72193
0.000439 3.49584 1.77213 1.72371 -1.72371
0.00044 3.4725 1.74703 1.72547 -1.72547
0.000441 3.4491 1.7219 1.7272 -1.7272
0.000442 3.42565 1.69673 1.72891 -1.72891
0.000443 3.40214 1.67154 1.7306 -1.7306
0.000444 3.37857 1.64632 1.73226 -1.73226
0.000445 3.35495 1.62106 1.73389 -1.73389
0.000446 3.33128 1.59578 1.7355 -1.7355
0.000447 3.30755 1.57047 1.73708 -1.73708
0.000448 3.28377 1.54513 1.73864 -1.73864
0.000449 3.25995 1.51977 1.74017 -1.74017
0.00045 3.23607 1.49439 1.74168 -1.74168
0.000451 3.21214 1.46898 1.74316 -1.74316
0.000452 3.18817 1.44355 1.74462 -1.74462
0.000453 3.16414 1.4181 1.74605 -1.74605
0.000454 3.14008 1.39262 1.74745 -1.74745
