t	1	2	3	jO0200	jV0300	
0.0072	0.00241244	0.00482489	0.00241244	-4.82489e-06	2.41244e-06	
0.00725	0.00242769	0.00485537	0.00242769	-4.85537e-06	2.42769e-06	
0.0073	0.00244292	0.00488584	0.00244292	-4.88584e-06	2.44292e-06	
0.00735	0.00245815	0.0049163	0.00245815	-4.9163e-06	2.45815e-06	
0.0074	0.00247337	0.00494674	0.00247337	-4.94674e-06	2.47337e-06	
0.00745	0.00248859	0.00497718	0.00248859	-4.97718e-06	2.48859e-06	
0.0075	0.0025038	0.0050076	0.0025038	-5.0076e-06	2.5038e-06	
0.00755	0.002519	0.00503801	0.002519	-5.03801e-06	2.519e-06	
0.0076	0.0025342	0.00506841	0.0025342	-5.06841e-06	2.5342e-06	
0.00765	0.00254939	0.00509879	0.00254939	-5.09879e-06	2.54939e-06	
0.0077	0.00256458	0.00512916	0.00256458	-5.12916e-06	2.56458e-06	
0.00775	0.00257976	0.00515952	0.00257976	-5.15952e-06	2.57976e-06	
0.0078	0.00259493	0.00518987	0.00259493	-5.18987e-06	2.59493e-06	
0.00785	0.0026101	0.0052202	0.0026101	-5.2202e-06	2.6101e-06	
0.0079	0.00262526	0.00525052	0.00262526	-5.25052e-06	2.62526e-06	
0.00795	0.00264041	0.00528083	0.00264041	-5.28083e-06	2.64041e-06	
0.008	0.00265556	0.00531112	0.00265556	-5.31112e-06	2.65556e-06	
0.00805	0.0026707	0.0053414	0.0026707	-5.3414e-06	2.6707e-06	
0.0081	0.00268584	0.00537167	0.00268584	-5.37167e-06	2.68584e-06	
0.00815	0.00270096	0.00540193	0.00270096	-5.40193e-06	2.70096e-06	
0.0082	0.00271608	0.00543217	0.00271608	-5.43217e-06	2.71608e-06	
0.00825	0.0027312	0.0054624	0.0027312	-5.4624e-06	2.7312e-06	
0.0083	0.00274631	0.00549261	0.00274631	-5.49261e-06	2.74631e-06	
0.00835	0.00276141	0.00552281	0.00276141	-5.52281e-06	2.76141e-06	
0.0084	0.0027765	0.005553	0.0027765	-5.553e-06	2.7765e-06	
0.00845	0.00279159	0.00558317	0.00279159	-5.58317e-06	2.79159e-06	
0.0085	0.00280667	0.00561333	0.00280667	-5.61333e-06	2.80667e-06	
0.00855	0.00282174	0.00564348	0.00282174	-5.64348e-06	2.82174e-06	
0.0086	0.00283681	0.00567361	0.00283681	-5.67361e-06	2.83681e-06	
0.00865	0.00285187	0.00570373	0.00285187	-5.70373e-06	2.85187e-06	
0.0087	0.00286692	0.00573384	0.00286692	-5.73384e-06	2.86692e-06	
0.00875	0.00288196	0.00576393	0.00288196	-5.76393e-06	2.88196e-06	
0.0088	0.002897	0.005794	0.002897	-5.794e-06	2.897e-06	
0.00885	0.00291203	0.00582406	0.00291203	-5.82406e-06	2.91203e-06	
0.0089	0.00292706	0.00585411	0.00292706	-5.85411e-06	2.92706e-06	
0.00895	0.00294207	0.00588414	0.00294207	-5.88414e-06	2.94207e-06	
0.009	0.00295708	0.00591416	0.00295708	-5.91416e-06	2.95708e-06	
0.00905	0.00297208	0.00594416	0.00297208	-5.94416e-06	2.97208e-06	
0.0091	0.00298708	0.00597415	0.00298708	-5.97415e-06	2.98708e-06	
0.00915	0.00300206	0.00600413	0.00300206	-6.00413e-06	3.00206e-06	
0.0092	0.00301704	0.00603409	0.00301704	-6.03409e-06	3.01704e-06	
0.00925	0.00303202	0.00606403	0.00303202	-6.06403e-06	3.03202e-06	
0.0093	0.00304698	0.00609396	0.00304698	-6.09396e-06	3.04698e-06	
0.00935	0.00306194	0.00612388	0.00306194	-6.12388e-06	3.06194e-06	
0.0094	0.00307689	0.00615378	0.00307689	-6.15378e-06	3.07689e-06	
0.00945	0.00309183	0.00618366	0.00309183	-6.18366e-06	3.09183e-06	
0.0095	0.00310676	0.00621353	0.00310676	-6.21353e-06	3.10676e-06	
0.00955	0.00312169	0.00624338	0.00312169	-6.24338e-06	3.12169e-06	
0.0096	0.00313661	0.00627322	0.00313661	-6.27322e-06	3.13661e-06	
0.00965	0.00315152	0.00630304	0.00315152	-6.30304e-06	3.15152e-06	
0.0097	0.00316643	0.00633285	0.00316643	-6.33285e-06	3.16643e-06	
0.00975	0.00318132	0.00636264	0.00318132	-6.36264e-06	3.18132e-06	
0.0098	0.00319621	0.00639242	0.00319621	-6.39242e-06	3.19621e-06	
0.00985	0.00321109	0.00642218	0.00321109	-6.42218e-06	3.21109e-06	
0.0099	0.00322596	0.00645192	0.00322596	-6.45192e-06	3.22596e-06	
0.00995	0.00324083	0.00648165	0.00324083	-6.48165e-06	3.24083e-06	
0.01	0.00325568	0.00651136	0.00325568	-6.51136e-06	3.25568e-06	
0.01005	0.00327053	0.00654106	0.00327053	-6.54106e-06	3.27053e-06	
0.0101	0.00328537	0.00657074	0.00328537	-6.57074e-06	3.28537e-06	
0.01015	0.0033002	0.0066004	0.0033002	-6.6004e-06	3.3002e-06	
0.0102	0.00331503	0.00663005	0.00331503	-6.63005e-06	3.31503e-06	
0.01025	0.00332984	0.00665968	0.00332984	-6.65968e-06	3.32984e-06	
0.0103	0.00334465	0.0066893	0.00334465	-6.6893e-06	3.34465e-06	
0.01035	0.00335945	0.0067189	0.00335945	-6.7189e-06	3.35945e-06	
0.0104	0.00337424	0.00674848	0.00337424	-6.74848e-06	3.37424e-06	
0.01045	0.00338902	0.00677804	0.00338902	-6.77804e-06	3.38902e-06	
0.0105	0.0034038	0.00680759	0.0034038	-6.80759e-06	3.4038e-06	
0.01055	0.00341856	0.00683712	0.00341856	-6.83712e-06	3.41856e-06	
0.0106	0.00343332	0.00686664	0.00343332	-6.86664e-06	3.43332e-06	
0.01065	0.00344807	0.00689614	0.00344807	-6.89614e-06	3.44807e-06	
0.0107	0.00346281	0.00692562	0.00346281	-6.92562e-06	3.46281e-06	
0.01075	0.00347754	0.00695508	0.00347754	-6.95508e-06	3.47754e-06	
0.0108	0.00349226	0.00698453	0.00349226	-6.98453e-06	3.49226e-06	
0.01085	0.00350698	0.00701396	0.00350698	-7.01396e-06	3.50698e-06	
0.0109	0.00352168	0.00704337	0.00352168	-7.04337e-06	3.52168e-06	
0.01095	0.00353638	0.00707276	0.00353638	-7.07276e-06	3.53638e-06	
0.011	0.00355107	0.00710214	0.00355107	-7.10214e-06	3.55107e-06	
0.01105	0.00356575	0.0071315	0.00356575	-7.1315e-06	3.56575e-06	
0.0111	0.00358042	0.00716084	0.00358042	-7.16084e-06	3.58042e-06	
0.01115	0.00359508	0.00719017	0.00359508	-7.19017e-06	3.59508e-06	
0.0112	0.00360974	0.00721947	0.00360974	-7.21947e-06	3.60974e-06	
0.01125	0.00362438	0.00724876	0.00362438	-7.24876e-06	3.62438e-06	
0.0113	0.00363902	0.00727803	0.00363902	-7.27803e-06	3.63902e-06	
0.01135	0.00365364	0.00730728	0.00365364	-7.30728e-06	3.65364e-06	
0.0114	0.00366826	0.00733652	0.00366826	-7.33652e-06	3.66826e-06	
0.01145	0.00368287	0.00736574	0.00368287	-7.36574e-06	3.68287e-06	
0.0115	0.00369747	0.00739494	0.00369747	-7.39494e-06	3.69747e-06	
0.01155	0.00371206	0.00742412	0.00371206	-7.42412e-06	3.71206e-06	
0.0116	0.00372664	0.00745328	0.00372664	-7.45328e-06	3.72664e-06	
0.01165	0.00374121	0.00748242	0.00374121	-7.48242e-06	3.74121e-06	
0.0117	0.00375577	0.00751155	0.00375577	-7.51155e-06	3.75577e-06	
