t	1	2	jV0100	
0.534	-0.424014	4.24057e-05	-4.24057e-05	
0.535	-0.436286	4.3633e-05	-4.3633e-05	
0.536	-0.448542	4.48586e-05	-4.48586e-05	
0.537	-0.460779	4.60825e-05	-4.60825e-05	
0.538	-0.472998	4.73045e-05	-4.73045e-05	
0.539	-0.485198	4.85247e-05	-4.85247e-05	
0.54	-0.49738	4.9743e-05	-4.9743e-05	
0.541	-0.509541	5.09592e-05	-5.09592e-05	
0.542	-0.521683	5.21735e-05	-5.21735e-05	
0.543	-0.533804	5.33857e-05	-5.33857e-05	
0.544	-0.545904	5.45958e-05	-5.45958e-05	
0.545	-0.557982	5.58038e-05	-5.58038e-05	
0.546	-0.570039	5.70096e-05	-5.70096e-05	
0.547	-0.582072	5.82131e-05	-5.82131e-05	
0.548	-0.594083	5.94143e-05	-5.94143e-05	
0.549	-0.606071	6.06131e-05	-6.06131e-05	
0.55	-0.618034	6.18096e-05	-6.18096e-05	
0.551	-0.629973	6.30036e-05	-6.30036e-05	
0.552	-0.641887	6.41951e-05	-6.41951e-05	
0.553	-0.653776	6.53841e-05	-6.53841e-05	
0.554	-0.665639	6.65706e-05	-6.65706e-05	
0.555	-0.677476	6.77544e-05	-6.77544e-05	
0.556	-0.689286	6.89355e-05	-6.89355e-05	
0.557	-0.701069	7.01139e-05	-7.01139e-05	
0.558	-0.712824	7.12895e-05	-7.12895e-05	
0.559	-0.724551	7.24623e-05	-7.24623e-05	
0.56	-0.736249	7.36323e-05	-7.36323e-05	
0.561	-0.747918	7.47993e-05	-7.47993e-05	
0.562	-0.759558	7.59634e-05	-7.59634e-05	
0.563	-0.771168	7.71245e-05	-7.71245e-05	
0.564	-0.782747	7.82826e-05	-7.82826e-05	
0.565	-0.794296	7.94375e-05	-7.94375e-05	
0.566	-0.805813	8.05893e-05	-8.05893e-05	
0.567	-0.817298	8.1738e-05	-8.1738e-05	
0.568	-0.828751	8.28834e-05	-8.28834e-05	
0.569	-0.840171	8.40255e-05	-8.40255e-05	
0.57	-0.851559	8.51644e-05	-8.51644e-05	
0.571	-0.862912	8.62998e-05	-8.62998e-05	
0.572	-0.874232	8.74319e-05	-8.74319e-05	
0.573	-0.885516	8.85605e-05	-8.85605e-05	
0.574	-0.896766	8.96856e-05	-8.96856e-05	
0.575	-0.907981	9.08072e-05	-9.08072e-05	
0.576	-0.91916	9.19252e-05	-9.19252e-05	
0.577	-0.930302	9.30395e-05	-9.30395e-05	
0.578	-0.941408	9.41502e-05	-9.41502e-05	
0.579	-0.952476	9.52572e-05	-9.52572e-05	
0.58	-0.963507	9.63604e-05	-9.63604e-05	
0.581	-0.9745	9.74598e-05	-9.74598e-05	
0.582	-0.985455	9.85553e-05	-9.85553e-05	
0.583	-0.99637	9.9647e-05	-9.9647e-05	
0.584	-1.00725	0.000100735	-0.000100735	
0.585	-1.01808	0.000101818	-0.000101818	
0.586	-1.02888	0.000102898	-0.000102898	
0.587	-1.03963	0.000103974	-0.000103974	
0.588	-1.05035	0.000105045	-0.000105045	
0.589	-1.06102	0.000106113	-0.000106113	
0.59	-1.07165	0.000107176	-0.000107176	
0.591	-1.08224	0.000108235	-0.000108235	
0.592	-1.09279	0.00010929	-0.00010929	
0.593	-1.10329	0.00011034	-0.00011034	
0.594	-1.11375	0.000111386	-0.000111386	
0.595	-1.12417	0.000112428	-0.000112428	
0.596	-1.13454	0.000113465	-0.000113465	
0.597	-1.14486	0.000114498	-0.000114498	
0.598	-1.15515	0.000115526	-0.000115526	
0.599	-1.16538	0.00011655	-0.00011655	
0.6	-1.17557	0.000117569	-0.000117569	
0.601	-1.18571	0.000118583	-0.000118583	
0.602	-1.19581	0.000119593	-0.000119593	
0.603	-1.20586	0.000120598	-0.000120598	
0.604	-1.21586	0.000121598	-0.000121598	
0.605	-1.22581	0.000122594	-0.000122594	
0.606	-1.23572	0.000123584	-0.000123584	
0.607	-1.24558	0.00012457	-0.00012457	
0.608	-1.25538	0.000125551	-0.000125551	
